"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.15? Tell 192.168.1.1"
"2","0.000000561","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.15? Tell 192.168.1.1"
"3","0.527882871","192.168.1.4","172.217.30.206","UDP","754","42432  >  443 Len=712"
"4","0.543139099","172.217.30.206","192.168.1.4","UDP","72","443  >  42432 Len=30"
"5","0.546650408","192.168.1.4","172.217.30.206","UDP","75","42432  >  443 Len=33"
"6","0.562313126","35.155.106.192","192.168.1.4","TLSv1.2","105","Application Data"
"7","0.562561510","192.168.1.4","35.155.106.192","TLSv1.2","105","Application Data"
"8","0.642076522","172.217.30.206","192.168.1.4","UDP","110","443  >  42432 Len=68"
"9","0.642169115","172.217.30.206","192.168.1.4","UDP","65","443  >  42432 Len=23"
"10","0.642343791","192.168.1.4","172.217.30.206","UDP","79","42432  >  443 Len=37"
"11","0.645124305","192.168.1.4","172.217.30.206","UDP","75","42432  >  443 Len=33"
"12","0.654081236","172.217.30.206","192.168.1.4","UDP","68","443  >  42432 Len=26"
"13","0.747763373","35.155.106.192","192.168.1.4","TCP","66","443  >  55632 [ACK] Seq=40 Ack=40 Win=3918 Len=0 TSval=2154768176 TSecr=3408199248"
"14","0.818728784","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.32? Tell 192.168.1.1"
"15","0.818869507","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.32? Tell 192.168.1.1"
"16","0.819036509","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.34? Tell 192.168.1.1"
"17","0.819184245","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.34? Tell 192.168.1.1"
"18","0.819357699","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.33? Tell 192.168.1.1"
"19","0.819517637","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.33? Tell 192.168.1.1"
"20","0.819721478","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.35? Tell 192.168.1.1"
"21","0.819892638","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.35? Tell 192.168.1.1"
"22","0.820052537","AskeyCom_1d:5f:80","Broadcast","ARP","56","Who has 192.168.1.36? Tell 192.168.1.1"
"23","0.820219709","AskeyCom_1d:5f:80","Broadcast","ARP","60","Who has 192.168.1.36? Tell 192.168.1.1"
